,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90,Y_Q
1233,2009-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,345,463,4.6,11.8,01_Q1
3186,2009-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,434,467,4.9,13.8,01_Q2
5104,2009-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,409,525,5.1,14.0,01_Q3
7035,2009-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,505,567,4.0,12.4,01_Q4
9020,2010-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,552,561,4.6,12.3,01_Q1
10910,2010-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,735,503,4.0,12.6,01_Q2
12847,2010-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,1104,517,4.1,13.0,01_Q3
14793,2010-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,2108,554,3.6,10.7,01_Q4
16760,2011-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,2143,2162,5.3,25.9,01_Q1
18767,2011-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,2102,2020,5.4,24.6,01_Q2
20742,2011-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,1971,1966,4.1,21.9,01_Q3
22755,2011-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,2046,2171,3.7,18.9,01_Q4
24806,2012-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,1902,2193,3.9,21.0,01_Q1
26802,2012-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,1699,2062,3.4,18.9,01_Q2
28777,2012-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,1921,2184,3.1,18.0,01_Q3
30781,2012-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,2166,2203,2.6,17.8,01_Q4
32832,2013-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,2202,2292,3.6,18.3,01_Q1
34837,2013-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,1761,2130,3.4,20.7,01_Q2
36803,2013-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,1667,2075,2.9,20.0,01_Q3
38781,2013-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,1734,2146,4.0,20.2,01_Q4
40765,2014-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,1703,2301,2.9,20.5,01_Q1
42695,2014-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,1698,2148,2.9,22.4,01_Q2
44658,2014-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,1752,1980,3.1,20.1,01_Q3
46626,2014-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,1631,2101,3.1,22.1,01_Q4
48645,2015-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,1733,2291,2.6,19.0,01_Q1
50585,2015-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,1921,2065,2.9,20.0,01_Q2
52530,2015-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,1773,1938,2.7,19.6,01_Q3
54469,2015-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,1644,2116,3.1,18.3,01_Q4
56474,2016-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,1926,1872,3.9,17.9,01_Q1
58440,2016-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,2039,1670,4.4,20.2,01_Q2
60357,2016-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,2264,1607,6.6,23.7,01_Q3
62327,2016-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,2302,1746,8.7,27.7,01_Q4
64339,2017-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,2225,2175,5.7,28.5,01_Q1
66312,2017-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,1973,2081,6.6,28.7,01_Q2
68225,2017-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,2245,1561,4.1,23.0,01_Q3
70191,2017-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,2137,2322,5.4,25.3,01_Q4
72220,2018-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,2148,2336,4.4,21.9,01_Q1
74193,2018-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,2090,2267,4.4,21.7,01_Q2
76173,2018-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,1924,2659,3.4,19.0,01_Q3
78169,2018-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,1839,2819,3.3,20.3,01_Q4
80199,2019-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,2227,2608,4.3,15.6,01_Q1
82163,2019-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,2091,2666,5.0,18.5,01_Q2
84132,2019-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,2344,2591,4.7,18.7,01_Q3
86086,2019-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,2401,2464,4.7,18.0,01_Q4
87875,2020-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,2476,1662,4.2,25.0,01_Q1
89718,2020-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,2371,2532,5.9,30.1,01_Q2
91739,2020-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,2354,2510,5.0,23.7,01_Q3
93746,2020-01-01,Q4,Provincial Health Services Authority,All Facilities,All Procedures,2365,2650,5.3,22.2,01_Q4
97435,2021-01-01,Q1,Provincial Health Services Authority,All Facilities,All Procedures,2666,2650,5.4,20.7,01_Q1
99408,2021-01-01,Q2,Provincial Health Services Authority,All Facilities,All Procedures,2641,2725,5.4,22.4,01_Q2
101356,2021-01-01,Q3,Provincial Health Services Authority,All Facilities,All Procedures,2673,2476,4.7,25.0,01_Q3
