,year,quarter,health_authority,hospital,procedure,waiting,completed,wait_time_50,wait_time_90
1718,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Biopsy in OR,5,19,3.7,26.5
1719,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Bladder Surgery,5,19,15.1,28.5
1720,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Bowel Resection,3,6,0.9,12.5
1721,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Breast Biopsy,3,10,2.1,5.4
1722,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Breast Reconstruction,6,6,14.9,24.6
1723,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Breast Reduction,15,11,12.4,20.7
1724,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Cholecystectomy,25,23,7.0,38.7
1725,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Cyst/Ganglion Removal,9,11,1.3,10.7
1726,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,D&C and Related Surgery,3,8,5.6,22.2
1727,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Dental Surgery,109,61,11.3,26.1
1728,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Fallopian Tube/Ovarian Surgery,3,10,4.6,6.3
1729,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Hand/Wrist Surgery,10,10,13.9,28.7
1730,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Hernia Repair - Abdominal,37,49,6.4,18.9
1731,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Hip Replacement,51,28,23.4,31.7
1732,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Knee - ACL Repair,8,7,11.9,34.1
1733,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Knee Arthroscopy,48,54,5.9,25.1
1734,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Knee Replacement,71,46,18.6,26.9
1735,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Male Reproductive Surgery,8,20,3.4,11.1
1736,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Mastectomy,3,12,2.1,6.9
1737,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Myringotomy,10,27,5.4,10.4
1738,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Nasal Surgery,29,8,11.6,12.0
1739,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Other Joint Reconstruction,22,7,5.6,23.3
1740,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Other Orthopaedic Surgery,45,52,3.4,21.0
1741,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Other Urology Surgery,6,17,3.3,15.8
1742,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Rectal Surgery,3,7,4.0,11.7
1743,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Shoulder Surgery,61,26,15.0,29.4
1744,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Skin Tumour Removal,13,11,3.4,8.6
1745,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Spinal/Back Surgery,3,5,2.3,54.9
1746,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Tendon Surgery,10,11,5.6,9.9
1747,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Tonsillectomy/Adenoidectomy,51,27,7.4,11.1
1748,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Uterine Surgery,6,15,4.1,9.8
1749,2009-01-01,Q1,Vancouver Island,Campbell River And District General Hospital,Varicose Veins Ligation/Stripping,6,10,9.1,29.0
1751,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Biopsy in OR,6,8,3.6,6.8
1752,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Bladder Surgery,29,27,3.9,34.9
1753,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Bowel Resection,3,7,2.0,7.5
1754,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Breast Biopsy,3,8,1.2,7.8
1755,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Cataract Surgery,123,206,4.1,8.9
1756,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Cholecystectomy,8,30,2.6,8.9
1757,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Cyst/Ganglion Removal,9,5,2.6,5.2
1758,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Dental Surgery,204,103,5.3,16.7
1759,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Fallopian Tube/Ovarian Surgery,12,15,4.7,7.8
1760,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Hand/Wrist Surgery,17,22,4.3,11.1
1761,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Hernia Repair - Abdominal,23,53,2.7,6.4
1762,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Hip Replacement,37,26,19.1,30.9
1763,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Knee Arthroscopy,70,65,4.9,14.1
1764,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Knee Replacement,73,53,17.6,41.7
1765,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Male Reproductive Surgery,7,6,12.4,16.4
1766,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Mastectomy,5,11,1.1,2.4
1767,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Myringotomy,3,5,4.3,8.7
1768,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Nasal Surgery,18,26,7.7,28.4
1769,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Oral Cavity & Pharynx Surgery,22,8,8.6,11.5
1770,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Other Eye Surgery,3,11,6.1,12.3
1771,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Other Joint Reconstruction,13,5,6.7,24.0
1772,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Other Orthopaedic Surgery,26,24,4.2,18.1
1773,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Other Urology Surgery,3,9,3.0,17.8
1774,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Prostate Surgery,44,23,22.0,35.8
1775,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Rectal Surgery,3,7,3.4,5.4
1776,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Shoulder Surgery,10,5,5.1,11.9
1777,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Sinus Surgery,3,5,5.0,7.3
1778,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Tonsillectomy/Adenoidectomy,24,29,15.3,20.1
1779,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Uterine Surgery,35,52,5.3,10.3
1780,2009-01-01,Q1,Vancouver Island,Cowichan District Hospital,Vaginal Repair,3,5,17.7,20.7
1781,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,All Other Procedures,15,28,1.7,5.0
1783,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Biopsy in OR,69,108,6.7,12.1
1784,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Bladder Surgery,45,71,4.0,12.4
1785,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Bowel Resection,8,21,1.6,8.0
1786,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Breast Biopsy,7,30,1.0,3.7
1787,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Breast Reduction,15,5,34.9,82.7
1788,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Cataract Surgery,553,508,9.3,24.7
1789,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Cholecystectomy,40,55,3.1,8.2
1790,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Cone Biopsy,3,6,1.6,6.4
1791,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Cyst/Ganglion Removal,28,13,6.9,14.4
1792,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Dental Surgery,212,155,10.0,32.5
1793,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Examination Under Anaesthetic,3,10,8.5,13.3
1794,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Excision Lesion/Tumour,17,26,2.3,8.4
1795,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Facial Bone Reconstruction,181,31,38.4,78.6
1796,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Fallopian Tube/Ovarian Surgery,55,46,5.6,19.6
1797,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Fracture Repair,14,17,1.7,33.6
1798,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Hand/Wrist Surgery,23,20,3.9,23.3
1799,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Hernia Repair - Abdominal,107,114,3.9,23.8
1800,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Hernia Repair - Hiatal,6,5,6.6,15.1
1801,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Hip Replacement,73,56,10.1,60.1
1802,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Kidney/Bladder Stone Removal,8,9,4.4,5.9
1803,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Knee - ACL Repair,48,19,35.7,78.2
1804,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Knee Arthroscopy,433,140,11.6,51.4
1805,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Knee Replacement,135,88,19.6,57.5
1806,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Laparoscopy,24,9,6.6,17.3
1807,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Male Reproductive Surgery,11,24,12.0,17.4
1808,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Mastectomy,14,47,1.1,2.3
1809,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Myringotomy,16,27,2.9,4.5
1810,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Nasal Surgery,13,21,5.0,12.0
1811,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Other Eye Surgery,50,26,19.7,33.6
1812,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Other Joint Reconstruction,59,17,8.9,75.5
1813,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Other Orthopaedic Surgery,157,74,5.6,30.3
1814,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Other Urology Surgery,28,71,2.0,9.1
1815,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Prostate Surgery,22,38,4.2,7.4
1816,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Rectal Surgery,18,27,2.0,6.5
1817,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Shoulder Surgery,139,43,9.9,74.4
1818,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Sinus Surgery,3,9,2.0,7.1
1819,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Skin Surgery,10,5,10.4,78.8
1820,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Skin Tumour Removal,31,45,3.1,9.7
1821,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Sphincterotomy,3,5,0.9,7.9
1822,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Tonsillectomy/Adenoidectomy,16,18,3.0,7.0
1823,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Uterine Surgery,105,188,4.4,15.3
1824,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Vaginal Repair,30,21,8.4,25.0
1825,2009-01-01,Q1,Vancouver Island,Nanaimo Regional General Hospital,Wound/Laceration Care,9,10,3.4,71.0
1826,2009-01-01,Q1,Vancouver Island,Royal Jubilee Hospital,All Other Procedures,108,100,3.0,17.8
1828,2009-01-01,Q1,Vancouver Island,Royal Jubilee Hospital,Aortic Aneurysm Repair,12,22,6.1,17.5
1829,2009-01-01,Q1,Vancouver Island,Royal Jubilee Hospital,Bariatric Surgery,622,49,24.3,134.4
1830,2009-01-01,Q1,Vancouver Island,Royal Jubilee Hospital,Biopsy in OR,27,32,2.9,11.9
